"filename", "language", "C#", "comment", "blank", "total"
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\TalkDataViewer.cs", "C#", 16, 1, 3, 20
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\TreeBuilder.cs", "C#", 45, 16, 13, 74
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EditorScripts\TreeStructuredDataEditor.cs", "C#", 87, 20, 32, 139
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\AsyncEvent.cs", "C#", 96, 10, 20, 126
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\CallBacks\ExploreAndSDataSets.cs", "C#", 60, 11, 15, 86
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\CallBacks\ExploreLogDataSets.cs", "C#", 30, 0, 5, 35
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\CallBacks\LogDataSets.cs", "C#", 45, 3, 11, 59
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\DataProvider.cs", "C#", 45, 1, 14, 60
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventArgs\ISalvageEventArg.cs", "C#", 3, 0, 1, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventArgs\SelectableArg.cs", "C#", 8, 0, 1, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventArgs\SessionEventArg.cs", "C#", 18, 2, 3, 23
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventArgs\SystemEventArg.cs", "C#", 8, 0, 0, 8
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventArgs\UIEventArg.cs", "C#", 23, 0, 4, 27
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\EventManager.cs", "C#", 147, 1, 33, 181
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\GameManager.cs", "C#", 19, 0, 7, 26
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\IEvent.cs", "C#", 14, 0, 1, 15
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\IEventListener.cs", "C#", 8, 4, 1, 13
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\IEventTask.cs", "C#", 8, 0, 3, 11
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\ITask.cs", "C#", 8, 0, 1, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SalvageEvent.cs", "C#", 113, 12, 18, 143
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SalvageSessionEvent.cs", "C#", 5, 0, 2, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SimpleSignal.cs", "C#", 3, 0, 1, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SmallTask.cs", "C#", 42, 4, 5, 51
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SystemEvent.cs", "C#", 5, 0, 2, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\SystemState.cs", "C#", 7, 0, 0, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\TaskBase.cs", "C#", 15, 0, 3, 18
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\EventSystem\UIEvent.cs", "C#", 4, 0, 1, 5
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ExploreArg.cs", "C#", 166, 3, 26, 195
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ExploreEvent.cs", "C#", 5, 0, 2, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ExploreObjType.cs", "C#", 9, 0, 0, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\CustomLayout.cs", "C#", 63, 10, 14, 87
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Element\BotObject.cs", "C#", 27, 1, 4, 32
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Element\IUIRenderer.cs", "C#", 5, 1, 0, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Element\SectorStepObject.cs", "C#", 19, 1, 4, 24
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Element\UIAnimator.cs", "C#", 51, 4, 14, 69
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Input\ScreenTouchArg.cs", "C#", 10, 2, 2, 14
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\BackPanel.cs", "C#", 21, 0, 4, 25
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\BotRenderer.cs", "C#", 59, 4, 11, 74
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\IUIElement.cs", "C#", 4, 0, 0, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\IslandTouchPanel.cs", "C#", 48, 1, 11, 60
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\IslandUIController.cs", "C#", 98, 4, 36, 138
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\PanelName.cs", "C#", 9, 0, 0, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\SimplePanel.cs", "C#", 8, 1, 1, 10
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\StockInochiButton.cs", "C#", 35, 2, 7, 44
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\StockPanel.cs", "C#", 85, 0, 20, 105
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\TouchPanel.cs", "C#", 25, 0, 5, 30
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\UIPanel.cs", "C#", 42, 0, 7, 49
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\Panel\UISignalEmitter.cs", "C#", 12, 0, 1, 13
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\TextField\FukidashiName.cs", "C#", 5, 0, 0, 5
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\TextField\TalkField.cs", "C#", 23, 3, 8, 34
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GUI\TextField\TextField.cs", "C#", 50, 2, 17, 69
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\GameSessionData.cs", "C#", 22, 1, 4, 27
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ItemActionType.cs", "C#", 6, 0, 0, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\BookItemData.cs", "C#", 19, 2, 3, 24
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\EquipmentItemData.cs", "C#", 18, 4, 4, 26
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ItemAttribute.cs", "C#", 8, 0, 1, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ItemData.cs", "C#", 28, 0, 2, 30
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ItemID.cs", "C#", 6, 3, 0, 9
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ItemType.cs", "C#", 6, 0, 0, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ResourceData.cs", "C#", 11, 0, 1, 12
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Item\ToolData.cs", "C#", 5, 0, 1, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\ISessionSequencer.cs", "C#", 4, 0, 0, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\InteractEvent.cs", "C#", 18, 0, 4, 22
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\Sector\Island.cs", "C#", 9, 186, 2, 197
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\Sector\SectorMap.cs", "C#", 69, 22, 14, 105
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\SessionManager.cs", "C#", 75, 32, 31, 138
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\SessionSequencerOnTheCliff.cs", "C#", 27, 3, 8, 38
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\SessionSequencerProto.cs", "C#", 4, 190, 0, 194
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\SessionTracker.cs", "C#", 30, 7, 6, 43
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SalvageSession\SessionUtility.cs", "C#", 52, 0, 8, 60
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\SelectableEvent.cs", "C#", 5, 0, 1, 6
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\StepActionType.cs", "C#", 7, 0, 0, 7
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\TextLog\LogData.cs", "C#", 12, 0, 2, 14
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\TextLog\LogType.cs", "C#", 5, 0, 0, 5
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\IInteraptor.cs", "C#", 4, 0, 0, 4
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\InstantPool.cs", "C#", 87, 32, 18, 137
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\LogWrighter.cs", "C#", 63, 15, 19, 97
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\SerializableDictionary.cs", "C#", 73, 0, 12, 85
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\SingleScriptableObject.cs", "C#", 38, 0, 7, 45
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\SingleVariantScriptableObject.cs", "C#", 27, 3, 5, 35
"d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Utility\Singleton.cs", "C#", 27, 1, 5, 33
"Total", "-", 3800, 805, 837, 5442
